Note: The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ,,,,,,,,,,,,,,,,,,,,,,,,,
customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,,,,,,,,,,,,,
1778,Emera,Margrem,Female,72,2000-07-30,Staff Accountant III,n/a,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,Yes,2,,,,,,,,,,,,,
1185,Xena,Rossbrooke,Female,17,2000-07-23,VP Product Management,n/a,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,Yes,2,,,,,,,,,,,,,
2024,Elinor,Biggerstaff,Female,69,2000-07-14,VP Sales,IT,Mass Customer,N,âğ¿ ğªğ¿ ğğ¿ ğğ¿ ğğ¿ ğğ¿,Yes,2,,,,,,,,,,,,,
15,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,ğ,No,1,,,,,,,,,,,,,
2645,Ado,Yaldren,Male,20,2000-06-26,Technical Writer,IT,High Net Worth,N,NIL,Yes,1,,,,,,,,,,,,,
1951,Rockie,MacCosty,Male,93,2000-06-07,Health Coach II,Manufacturing,Mass Customer,N,â¡,Yes,2,,,,,,,,,,,,,
1076,Siegfried,Trattles,Male,33,2000-06-06,Pharmacist,Health,Affluent Customer,N,<img src=x onerror=alert('hi') />,No,2,,,,,,,,,,,,,
2731,Meagan,Ferry,Female,74,2000-05-18,Accounting Assistant III,Retail,Mass Customer,N,<img src=x onerror=alert('hi') />,Yes,1,,,,,,,,,,,,,
3482,Roch,Rilston,Female,71,2000-05-18,Clinical Specialist,Health,Affluent Customer,N,-$1.00,Yes,2,,,,,,,,,,,,,
2729,Meggi,Shipcott,Female,76,2000-05-10,General Manager,n/a,Mass Customer,N,null,Yes,1,,,,,,,,,,,,,
2504,Aloysius,Huffer,Male,52,2000-04-29,,Property,Mass Customer,N,ğ ğ ±ğ ¹ğ ±ğ ±¸ğ ²ğ ³,No,2,,,,,,,,,,,,,
519,Rabi,Nissle,Male,83,2000-04-07,,n/a,Mass Customer,N,-1.00E+02,Yes,1,,,,,,,,,,,,,
3201,Zed,Blanckley,Male,61,2000-03-31,Assistant Professor,Financial Services,Mass Customer,N,ğ¾ ğ ğ ğ ğ ğ ğ ğ§,Yes,1,,,,,,,,,,,,,
3960,Hobart,Burgan,Male,6,2000-03-16,,Property,Mass Customer,N,ğµ ğ ğ ğ,No,1,,,,,,,,,,,,,
2541,Cleveland,Islep,Male,17,2000-03-14,Software Engineer II,Financial Services,High Net Worth,N,Ì¡ÍÍÌIÍÌÌÌ¦nÍÍÍvÌ®Ì«okÌ²Ì«ÌÍiÌÍÌ­Ì¹Ì ÌnÌ¡Ì»Ì®Ì£ÌºgÌ²ÍÍÌ­ÍÌ¬Í Ì°tÍÌ¦hÌÌ²eÌ¢Ì¤ ÍÌ¬Ì²ÍfÌ´ÌÍÌ£eÍÍeÌ£Ì¥Ì©lÍÍÍiÍ ÍÍÌ¦nÍÍÌÍÌ³Ì®gÍ Ì¨oÍ¡ÍÌªfÌÌ£Ì¬ ÌÌÍÌÍÌ®cÒÍÌ«ÍÍÍÍÍhÌµÌ¤Ì£ÍÍaÍÌÌ¼ÍÍoÌ¼Ì£Ì¥sÍ¢Ì±ÍÌºÌÌ¦Ì».ÌÌ,Yes,2,,,,,,,,,,,,,
3363,Orson,Tythacott,Male,25,2000-03-08,Electrical Engineer,Manufacturing,High Net Worth,N,Ì¡ÍÍÌIÍÌÌÌ¦nÍÍÍvÌ®Ì«okÌ²Ì«ÌÍiÌÍÌ­Ì¹Ì ÌnÌ¡Ì»Ì®Ì£ÌºgÌ²ÍÍÌ­ÍÌ¬Í Ì°tÍÌ¦hÌÌ²eÌ¢Ì¤ ÍÌ¬Ì²ÍfÌ´ÌÍÌ£eÍÍeÌ£Ì¥Ì©lÍÍÍiÍ ÍÍÌ¦nÍÍÌÍÌ³Ì®gÍ Ì¨oÍ¡ÍÌªfÌÌ£Ì¬ ÌÌÍÌÍÌ®cÒÍÌ«ÍÍÍÍÍhÌµÌ¤Ì£ÍÍaÍÌÌ¼ÍÍoÌ¼Ì£Ì¥sÍ¢Ì±ÍÌºÌÌ¦Ì».ÌÌ,Yes,3,,,,,,,,,,,,,
3089,Wood,Nathan,Male,27,2000-02-24,Web Developer III,Manufacturing,Affluent Customer,N,â¢,Yes,2,,,,,,,,,,,,,
2134,Crosby,Ruoff,Male,16,2000-02-21,Nurse,Manufacturing,Affluent Customer,N,ç¤¾æç§å­¸é¢èªå­¸ç ç©¶æ,No,2,,,,,,,,,,,,,
2938,Richardo,Cocher,Male,79,2000-02-21,Assistant Manager,Argiculture,Affluent Customer,N,,No,2,,,,,,,,,,,,,
59,Niki,Heathcote,Male,60,2000-02-08,Physical Therapy Assistant,n/a,High Net Worth,N,-$1.00,No,3,,,,,,,,,,,,,
3954,Archaimbaud,McAteer,Male,63,2000-02-03,Human Resources Assistant III,Financial Services,High Net Worth,N,-1.00E+02,No,2,,,,,,,,,,,,,
1390,Christyna,Feldberg,Female,74,2000-01-25,Accounting Assistant I,Retail,High Net Worth,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,Yes,1,,,,,,,,,,,,,
1392,Marris,Waison,Female,28,2000-01-15,Human Resources Manager,Financial Services,Mass Customer,N,âââ,No,1,,,,,,,,,,,,,
2337,Odilia,Bick,Female,47,2000-01-11,Programmer Analyst II,Health,Mass Customer,N,"'""''''""",No,1,,,,,,,,,,,,,
1229,Sebastian,Trass,Male,38,2000-01-08,GIS Technical Architect,Manufacturing,Affluent Customer,N,-1,Yes,1,,,,,,,,,,,,,
3850,Alexandro,McCullock,Male,55,2000-01-07,Accountant III,n/a,Mass Customer,N,ç°ä¸­ããã«ããã¦ä¸ãã,Yes,2,,,,,,,,,,,,,
3423,Griselda,Bezants,Female,57,1999-12-27,Registered Nurse,Health,Affluent Customer,N,"<>?:""{}|_+",No,1,,,,,,,,,,,,,
1080,Monah,Talbot,Female,70,1999-12-26,Speech Pathologist,Property,Mass Customer,N,ğ ğ ±ğ ¹ğ ±ğ ±¸ğ ²ğ ³,Yes,2,,,,,,,,,,,,,
2431,Alvy,Tyndall,Male,15,1999-12-24,Senior Cost Accountant,Financial Services,Mass Customer,N,1/0,Yes,2,,,,,,,,,,,,,
435,Jerome,Muggeridge,Male,5,1999-12-23,GIS Technical Architect,Telecommunications,Mass Customer,N,â°â´âµ,No,1,,,,,,,,,,,,,
644,Tomlin,Hastwall,Male,59,1999-12-22,Administrative Officer,Health,Affluent Customer,N,á,No,2,,,,,,,,,,,,,
3675,Samuele,Heller,Male,88,1999-12-17,Analog Circuit Design manager,Property,Affluent Customer,N,á ,Yes,1,,,,,,,,,,,,,
2833,Cy,Braim,Male,60,1999-11-26,,IT,Mass Customer,N,',Yes,3,,,,,,,,,,,,,
1599,Ozzy,Silver,Male,65,1999-11-24,,n/a,Affluent Customer,N,ã»(ï¿£âï¿£)ã»:*:,No,1,,,,,,,,,,,,,
3651,Baxie,,Male,91,1999-11-15,Human Resources Assistant I,Manufacturing,Mass Customer,N,nil,No,2,,,,,,,,,,,,,
803,Nina,Murcutt,Female,96,1999-11-11,Nuclear Power Engineer,Manufacturing,High Net Worth,N,ï½ï½¨(Â´âï½â©,No,3,,,,,,,,,,,,,
3063,Andrea,Wildber,Male,74,1999-11-04,VP Sales,Financial Services,Affluent Customer,N,1-Feb,No,2,,,,,,,,,,,,,
1436,Tonnie,Andryunin,Male,40,1999-10-29,General Manager,n/a,Affluent Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,No,3,,,,,,,,,,,,,
3650,Darrelle,Rosas,Female,85,1999-10-21,Office Assistant I,IT,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,2,,,,,,,,,,,,,
1811,Sylvan,Sugge,Male,59,1999-10-13,,Financial Services,Mass Customer,N,Â¸ËÃâÄ±ËÃÂ¯ËÂ¿,No,1,,,,,,,,,,,,,
3460,Reinhold,Barthrup,Male,22,1999-10-10,Actuary,Financial Services,Mass Customer,N,â¦testâ§,No,2,,,,,,,,,,,,,
967,April,Causon,Female,44,1999-10-04,Sales Associate,Manufacturing,Affluent Customer,N,â¢,Yes,1,,,,,,,,,,,,,
2006,Hyacinthia,Tuley,Female,33,1999-10-04,Senior Developer,Property,High Net Worth,N,00ËÆ$-,Yes,2,,,,,,,,,,,,,
951,Meryl,Dumbar,Male,44,1999-09-29,Assistant Media Planner,Entertainment,Mass Customer,N,ì¸ëë°í ë¥´,No,1,,,,,,,,,,,,,
2342,Clara,Jakel,Female,87,1999-09-17,,n/a,Mass Customer,N,ç¤¾æç§å­¸é¢èªå­¸ç ç©¶æ,No,2,,,,,,,,,,,,,
3757,Hyacinthia,Crain,Female,75,1999-09-12,Information Systems Manager,n/a,Affluent Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,2,,,,,,,,,,,,,
2093,Salem,Doiley,Male,94,1999-09-10,Programmer II,Financial Services,High Net Worth,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,2,,,,,,,,,,,,,
2521,Kellia,Martugin,Female,35,1999-08-29,Chemical Engineer,Manufacturing,High Net Worth,N,1.00E+96,Yes,3,,,,,,,,,,,,,
3055,Viki,Drache,Female,96,1999-08-23,General Manager,n/a,Mass Customer,N,ğ¾ ğ ğ ğ ğ ğ ğ ğ,Yes,2,,,,,,,,,,,,,
842,Mahmud,Dobbson,Male,59,1999-08-16,Compensation Analyst,Financial Services,High Net Worth,N,ã»(ï¿£âï¿£)ã»:*:,No,2,,,,,,,,,,,,,
1028,Thorn,Torfin,Male,10,1999-08-11,Project Manager,n/a,High Net Worth,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,No,1,,,,,,,,,,,,,
164,Aarika,Van Vuuren,Female,55,1999-08-07,Senior Editor,Retail,Affluent Customer,N,NIL,Yes,1,,,,,,,,,,,,,
931,Katrina,Sappson,Female,59,1999-08-07,Design Engineer,Manufacturing,Affluent Customer,N,1/0,Yes,1,,,,,,,,,,,,,
2755,Karen,La Wille,Female,66,1999-07-28,Automation Specialist I,Manufacturing,Mass Customer,N,ğ,Yes,1,,,,,,,,,,,,,
2929,Winny,Cakes,Male,97,1999-07-28,Nurse,Retail,Mass Customer,N,â©testâ©,No,2,,,,,,,,,,,,,
3386,Cliff,Nolin,Male,24,1999-07-28,Structural Engineer,IT,High Net Worth,N,â°â´âµ,Yes,2,,,,,,,,,,,,,
1430,Kalli,Pigeram,Female,86,1999-07-24,Biostatistician I,Manufacturing,Mass Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,Yes,3,,,,,,,,,,,,,
3188,Boyd,,Male,94,1999-07-07,Actuary,Financial Services,Mass Customer,N,ğµ ğ ğ ğ,No,1,,,,,,,,,,,,,
2259,Leanora,Calbert,Female,83,1999-07-02,Environmental Specialist,n/a,Affluent Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,2,,,,,,,,,,,,,
3989,Nicolas,Burdass,Male,75,1999-06-23,Environmental Specialist,Argiculture,Affluent Customer,N,âââ,Yes,1,,,,,,,,,,,,,
3953,Allyson,Simak,Female,79,1999-06-18,Help Desk Operator,Health,Affluent Customer,N,Ì¡ÍÍÌIÍÌÌÌ¦nÍÍÍvÌ®Ì«okÌ²Ì«ÌÍiÌÍÌ­Ì¹Ì ÌnÌ¡Ì»Ì®Ì£ÌºgÌ²ÍÍÌ­ÍÌ¬Í Ì°tÍÌ¦hÌÌ²eÌ¢Ì¤ ÍÌ¬Ì²ÍfÌ´ÌÍÌ£eÍÍeÌ£Ì¥Ì©lÍÍÍiÍ ÍÍÌ¦nÍÍÌÍÌ³Ì®gÍ Ì¨oÍ¡ÍÌªfÌÌ£Ì¬ ÌÌÍÌÍÌ®cÒÍÌ«ÍÍÍÍÍhÌµÌ¤Ì£ÍÍaÍÌÌ¼ÍÍoÌ¼Ì£Ì¥sÍ¢Ì±ÍÌºÌÌ¦Ì».ÌÌ,Yes,2,,,,,,,,,,,,,
804,Henrietta,Seater,Female,98,1999-06-17,Technical Writer,n/a,High Net Worth,N,â¤ï¸ ğ ğ ğ ğ ğ ğ ğ ğ ğ ğ ğ ğ ğ ğ,Yes,1,,,,,,,,,,,,,
914,Marc,Egleton,Male,73,1999-06-16,Chemical Engineer,Manufacturing,Affluent Customer,N,ğ©ğ½,Yes,2,,,,,,,,,,,,,
3908,Dolf,Serridge,Male,64,1999-06-09,Junior Executive,Health,High Net Worth,N,null,No,1,,,,,,,,,,,,,
3152,Lettie,McGenis,Female,6,1999-06-07,Teacher,Financial Services,High Net Worth,N,ğ,Yes,3,,,,,,,,,,,,,
2543,Horacio,Kitchin,Male,41,1999-06-03,Web Developer III,n/a,Affluent Customer,N,1.00E+02,No,2,,,,,,,,,,,,,
1984,Hewett,Alessandretti,Male,70,1999-06-01,Information Systems Manager,Health,Mass Customer,N,â°â´âµâââ,Yes,1,,,,,,,,,,,,,
334,Fredi,Iannuzzelli,Female,71,1999-05-20,Financial Advisor,Financial Services,Affluent Customer,N,0,Yes,3,,,,,,,,,,,,,
377,Levy,Bonavia,Male,65,1999-05-19,Staff Scientist,Argiculture,Mass Customer,N,Ã¥ÃâÆÂ©ËâËÂ¬â¦Ã¦,No,1,,,,,,,,,,,,,
351,Dev,Hafner,Male,69,1999-05-12,Pharmacist,Health,Mass Customer,N,ï»¿,Yes,2,,,,,,,,,,,,,
3133,Eda,MacCheyne,Female,89,1999-05-10,Quality Control Specialist,Manufacturing,Mass Customer,N,NIL,No,2,,,,,,,,,,,,,
2620,Henderson,Koubek,Male,26,1999-04-30,Civil Engineer,Manufacturing,Mass Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,1,,,,,,,,,,,,,
3379,Elysee,Spurr,Female,51,1999-04-30,Food Chemist,Health,Mass Customer,N,1.00E+02,Yes,2,,,,,,,,,,,,,
361,Stephana,Minero,Female,59,1999-03-27,Software Engineer IV,Health,Mass Customer,N,âğ¿ ğªğ¿ ğğ¿ ğğ¿ ğğ¿ ğğ¿,Yes,2,,,,,,,,,,,,,
421,Tish,Netti,Female,26,1999-03-19,Sales Representative,Retail,Mass Customer,N,ï»¿,Yes,2,,,,,,,,,,,,,
586,Jayme,Baunton,Female,63,1999-03-15,Chief Design Engineer,Manufacturing,Mass Customer,N,-1.00E+02,No,4,,,,,,,,,,,,,
2741,Reinwald,Sinkins,Male,6,1999-02-28,Statistician II,Property,High Net Worth,N,ï½ï½¨(Â´âï½â©,No,4,,,,,,,,,,,,,
3131,Sybilla,O' Markey,Female,63,1999-02-24,,Retail,Affluent Customer,N,,Yes,3,,,,,,,,,,,,,
875,Caryl,Linnett,Male,34,1999-02-23,Recruiting Manager,Financial Services,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,Yes,2,,,,,,,,,,,,,
2704,Orlando,Gniewosz,Male,6,1999-02-08,Account Representative IV,Retail,Affluent Customer,N,Ì¡ÍÍÌIÍÌÌÌ¦nÍÍÍvÌ®Ì«okÌ²Ì«ÌÍiÌÍÌ­Ì¹Ì ÌnÌ¡Ì»Ì®Ì£ÌºgÌ²ÍÍÌ­ÍÌ¬Í Ì°tÍÌ¦hÌÌ²eÌ¢Ì¤ ÍÌ¬Ì²ÍfÌ´ÌÍÌ£eÍÍeÌ£Ì¥Ì©lÍÍÍiÍ ÍÍÌ¦nÍÍÌÍÌ³Ì®gÍ Ì¨oÍ¡ÍÌªfÌÌ£Ì¬ ÌÌÍÌÍÌ®cÒÍÌ«ÍÍÍÍÍhÌµÌ¤Ì£ÍÍaÍÌÌ¼ÍÍoÌ¼Ì£Ì¥sÍ¢Ì±ÍÌºÌÌ¦Ì».ÌÌ,Yes,3,,,,,,,,,,,,,
3772,Anselma,Rennie,Female,45,1999-02-07,Physical Therapy Assistant,Manufacturing,Mass Customer,N,"'""''''""",Yes,2,,,,,,,,,,,,,
116,Scottie,Swiffen,Male,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,ğ¾ ğ ğ ğ ğ ğ ğ ğ§,Yes,2,,,,,,,,,,,,,
